Strategy,Horizon,TimeSeconds,Power,Gold,PowerPerSec,GoldPerSec,Rank,TotalBuildings,TopBuilding,Souls
ACTIVE,1m,60,30664,68,540,312,C,39,dojo,0
ACTIVE,5m,300,803802259,360486,14059081,1800103,A,280,spirit_shrine,0
ACTIVE,10m,600,58229770025,2210846,525118451,23673427,S,441,mana_reactor,41
ACTIVE,15m,900,548441218573,287047451,2816771630,79082598,SS,526,arcane_forge,113
ACTIVE,30m,1800,12294314684456,3629503463,26734209486,572941209,SS,667,mana_reactor,458
ACTIVE,1h,3600,267598334851016,46070123926,355620038654,4168705484,SSS,821,celestial_temple,1832
ACTIVE,2h,7200,3003343731332212,212764725546,1958269108785,21224367155,SSS,968,dimensional_gate,5441
ACTIVE,4h,14400,24534595084237880,199527486895,4125024129876,32081993856,AWAKENED,1105,dimensional_gate,14001
ACTIVE,8h,28800,101937713699059870,2370099654125,6528921939072,48781907456,AWAKENED,1194,dimensional_gate,26577
ACTIVE,24h,86400,552830571063617340,46376283628273,8658351831168,64758439936,AWAKENED,1310,infinite_core,56875
ACTIVE,7d,604800,9973299917796000000,249591660180326,28688258756352,150628959488,TRANSCENDENT,1504,infinite_core,209043
OPTIMAL,1m,60,163330,252,2181,1252,C,47,dojo,0
OPTIMAL,5m,300,871497304,540879,18146160,927784,A,260,warrior_academy,0
OPTIMAL,10m,600,35202013157,98564,210008990,6562288,S,392,arcane_forge,32
OPTIMAL,15m,900,161010942116,16098243,661148685,14407920,S,444,arcane_forge,65
OPTIMAL,30m,1800,2504504722631,507132181,3986836308,52964224,SS,549,mana_reactor,223
OPTIMAL,1h,3600,33254330159438,5599325285,30647209320,286473472,SS,673,mana_reactor,717
OPTIMAL,2h,7200,612494821645518,50614921046,346330631088,2011978496,SSS,817,celestial_temple,2660
OPTIMAL,4h,14400,5356784316009371,264686596429,1158339276432,6286124416,SSS,949,dimensional_gate,7059
OPTIMAL,8h,28800,50214671346179220,884742787437,3920608776864,15219289856,AWAKENED,1088,dimensional_gate,19325
OPTIMAL,24h,86400,380399678994415550,11520002417174,6911612565312,25615091712,AWAKENED,1223,dimensional_gate,48069
OPTIMAL,7d,604800,5457045490453671000,252812559824426,20061301318656,51564264192,TRANSCENDENT,1409,infinite_core,159363
CASUAL,1m,60,4668,140,128,100,D,25,dojo,0
CASUAL,5m,300,126441827,66226,4851374,834442,A,242,spirit_shrine,0
CASUAL,10m,600,41328960044,4993420,336431613,18962451,S,431,arcane_forge,35
CASUAL,15m,900,445500734454,159786911,2725260735,76645299,SS,519,arcane_forge,102
CASUAL,30m,1800,11196455580694,3292768237,26479906814,567562137,SS,662,mana_reactor,439
CASUAL,1h,3600,261546573904920,29439495905,355553310091,4167534438,SSS,820,celestial_temple,1814
CASUAL,2h,7200,2936753700515710,445526603038,1929066769905,20908653619,SSS,966,dimensional_gate,5386
CASUAL,4h,14400,24352806019396880,2058406437698,4085909476116,31770173568,AWAKENED,1104,dimensional_gate,13954
CASUAL,8h,28800,101637567637903140,126058898602,6528921939072,48781907456,AWAKENED,1194,dimensional_gate,26541
CASUAL,24h,86400,552585658068243000,44562947542255,8658351831168,64758439936,AWAKENED,1310,infinite_core,56864
CASUAL,7d,604800,9972574256250980000,245825767997385,28688258756352,150628959488,TRANSCENDENT,1504,infinite_core,209036
IDLE,1m,60,1230,2,92,76,D,19,dojo,0
IDLE,5m,300,49208042,83750,1538782,393896,A,219,spirit_shrine,0
IDLE,10m,600,31170628900,25275330,252617432,16337414,S,420,arcane_forge,31
IDLE,15m,900,350566547610,228200719,2094407811,70251494,SS,512,arcane_forge,92
IDLE,30m,1800,11026680539846,3062616155,24167694314,526762137,SS,662,mana_reactor,436
IDLE,1h,3600,258430454752314,50003877080,353067060091,4143534438,SSS,819,celestial_temple,1804
IDLE,2h,7200,2886599120134502,369506133652,1929065496945,20908628019,SSS,965,dimensional_gate,5344
IDLE,4h,14400,24217969038933230,1009950431279,4085909476116,31770173568,AWAKENED,1104,dimensional_gate,13919
IDLE,8h,28800,101558799815170800,10941273118041,6528821475072,48780781056,AWAKENED,1193,dimensional_gate,26532
IDLE,24h,86400,552256665099055170,42102078562265,8658351831168,64758439936,AWAKENED,1310,infinite_core,56848
IDLE,7d,604800,9971341082435918000,239348657505545,28688258756352,150628959488,TRANSCENDENT,1504,infinite_core,209024
