TierIndex,BuildingId,BaseCost,BaseProduction,BaseGoldProduction,CostAt10,PowerAt10,CostAt25,PowerAt25,CostAt50,PowerAt50,PaybackPeriodSeconds
1,dojo,10,1,1,203,20,2127,100,72177,400,10.0
2,meditation_chamber,100,8,4,2030,160,21279,800,721771,3200,12.5
3,spirit_shrine,1000,60,25,20303,1200,212793,6000,7217716,24000,16.7
4,warrior_academy,12000,450,160,243644,9000,2553516,45000,86612595,180000,26.7
5,arcane_forge,150000,3500,1100,3045557,70000,31918952,350000,1082657441,1400000,42.9
6,mana_reactor,2000000,30000,8500,40607436,600000,425586034,3000000,14435432554,12000000,66.7
7,celestial_temple,30000000,275000,70000,609111547,5500000,6383790523,27500000,216531488316,110000000,109.1
8,dimensional_gate,500000000,2700000,600000,10151859119,54000000,106396508732,270000000,3608858138613,1080000000,185.2
9,star_fortress,10000000000,30000000,6000000,203037182380,600000000,2127930174652,3000000000,72177162772263,12000000000,333.3
10,infinite_core,250000000000,380000000,70000000,5075929559513,7600000000,53198254366316,38000000000,1804429069306590,152000000000,657.9
