WorldId,StageId,StageNumber,GlobalIndex,IsBoss,BaseHp,NormalGoldReward,NormalPowerReward,BossCrystals,BossEssence,BossSouls,ExpectedClearSeconds
1,1-1,1,1,NO,40,15,25,0,0,0,8
1,1-2,2,2,NO,50,18,31,0,0,0,8
1,1-3,3,3,NO,63,22,38,0,0,0,8
1,1-4,4,4,NO,80,27,47,0,0,0,8
1,1-5,5,5,YES,252,33,59,25,5,0,18
1,1-6,6,6,NO,127,40,73,0,0,0,8
1,1-7,7,7,NO,160,49,90,0,0,0,8
1,1-8,8,8,NO,201,60,112,0,0,0,8
1,1-9,9,9,NO,254,73,139,0,0,0,8
1,1-10,10,10,YES,1440,89,173,50,15,5,25
2,2-1,1,11,NO,403,109,214,0,0,0,8
2,2-2,2,12,NO,508,133,266,0,0,0,8
2,2-3,3,13,NO,640,163,330,0,0,0,8
2,2-4,4,14,NO,807,198,409,0,0,0,8
2,2-5,5,15,YES,2542,242,507,50,10,0,18
2,2-6,6,16,NO,1281,296,629,0,0,0,8
2,2-7,7,17,NO,1614,361,781,0,0,0,8
2,2-8,8,18,NO,2034,440,968,0,0,0,8
2,2-9,9,19,NO,2562,537,1200,0,0,0,8
2,2-10,10,20,YES,14531,656,1489,100,30,10,25
3,3-1,1,21,NO,4068,800,1846,0,0,0,8
3,3-2,2,22,NO,5126,976,2289,0,0,0,8
3,3-3,3,23,NO,6459,1191,2839,0,0,0,8
3,3-4,4,24,NO,8139,1453,3520,0,0,0,8
3,3-5,5,25,YES,25638,1773,4365,75,15,0,18
3,3-6,6,26,NO,12921,2163,5413,0,0,0,8
3,3-7,7,27,NO,16281,2639,6712,0,0,0,8
3,3-8,8,28,NO,20514,3219,8323,0,0,0,8
3,3-9,9,29,NO,25848,3927,10321,0,0,0,8
3,3-10,10,30,YES,146560,4792,12798,150,45,15,25
4,4-1,1,31,NO,41037,5846,15870,0,0,0,8
4,4-2,2,32,NO,51706,7132,19679,0,0,0,8
4,4-3,3,33,NO,65150,8701,24402,0,0,0,8
4,4-4,4,34,NO,82089,10616,30259,0,0,0,8
4,4-5,5,35,YES,258582,12951,37521,100,20,0,18
4,4-6,6,36,NO,130325,15801,46526,0,0,0,8
4,4-7,7,37,NO,164210,19277,57692,0,0,0,8
4,4-8,8,38,NO,206904,23518,71538,0,0,0,8
4,4-9,9,39,NO,260699,28692,88708,0,0,0,8
4,4-10,10,40,YES,1478167,35004,109998,200,60,20,25
5,5-1,1,41,NO,413887,42705,136397,0,0,0,8
5,5-2,2,42,NO,521497,52100,169133,0,0,0,8
5,5-3,3,43,NO,657087,63562,209725,0,0,0,8
5,5-4,4,44,NO,827929,77546,260059,0,0,0,8
5,5-5,5,45,YES,2607978,94607,322473,125,25,0,18
5,5-6,6,46,NO,1314421,115420,399867,0,0,0,8
5,5-7,7,47,NO,1656170,140813,495835,0,0,0,8
5,5-8,8,48,NO,2086774,171792,614835,0,0,0,8
5,5-9,9,49,NO,2629336,209586,762396,0,0,0,8
5,5-10,10,50,YES,14908337,255695,945371,250,75,25,25
