RunIndex,DurationMinutes,LifetimePower,SoulsEarned,TotalSouls,HighestStage,HighestRank,SpeedupFactor
1,30,1000000,10,10,1-3,Rank D,1.00x
2,30,2200000,18,28,1-5,Rank C,1.45x
3,30,4840000,32,60,1-7,Rank C,1.90x
4,30,10648000,58,118,2-9,Rank B,2.35x
5,30,23425600,104,222,2-1,Rank B,2.80x
6,30,51536320,188,410,2-3,Rank B,3.25x
7,30,113379904,340,750,3-5,Rank A,3.70x
8,30,249435788,612,1362,3-7,Rank A,4.15x
9,30,548758735,1101,2463,3-9,Rank A,4.60x
10,30,1207269217,1983,4446,4-1,Rank A,5.05x
11,30,2655992279,3570,8016,4-3,Rank S,5.50x
12,30,5843183014,6426,14442,4-5,Rank S,5.95x
13,30,12855002631,11568,26010,4-7,Rank S,6.40x
14,30,28281005788,20822,46832,5-9,Rank S,6.85x
15,30,62218212734,37481,84313,5-1,Rank S,7.30x
16,30,136880068015,67466,151779,5-3,Rank Awakened,7.75x
17,30,301136149633,121439,273218,5-5,Rank Awakened,8.20x
18,30,662499529194,218591,491809,5-7,Rank Awakened,8.65x
19,30,1457498964228,393464,885273,5-9,Rank Awakened,9.10x
20,30,3206497721301,708235,1593508,5-1,Rank Awakened,9.55x
