RunNumber,RunDurationSeconds,LifetimePowerEarned,SoulsGained,TotalSoulsAccumulated,SoulSkillsPurchased,HighestRankAchieved,TowerMaxFloor
1,3600,33223893611251,716,685,2,SS,1
2,3600,81581940737491,1235,1870,4,SSS,1
3,3600,175652103127354,1971,3747,6,SSS,1
4,3600,356877258662284,3025,6600,8,SSS,1
5,3600,796409254283736,4790,11077,10,SSS,1
6,3600,1459957264099404,6882,17385,12,SSS,1
7,3600,2330682998820296,9223,25545,14,SSS,1
8,3600,3521099461155989,11981,35559,16,SSS,1
9,3600,5421342642928304,15614,47516,18,SSS,1
10,3600,7596865567019846,19413,60096,20,SSS,1
11,3600,10483085278308040,23873,71164,22,SSS,1
12,3600,13959847752345494,28787,75873,24,SSS,1
13,3600,19782273486705456,35582,66022,26,AWAKENED,1
14,3600,34181982980527416,47950,28001,28,AWAKENED,1
15,3600,50742291276500560,60191,40025,30,AWAKENED,1
16,3600,68722622223963480,68994,36235,32,AWAKENED,1
17,3600,85656413729213730,76183,56864,34,AWAKENED,1
18,3600,106426975833098100,84002,44370,36,AWAKENED,1
19,3600,129003018049737580,91598,10617,38,AWAKENED,1
20,3600,149482177862234900,97878,27396,40,AWAKENED,1
